lineId,season,name,team,iceTimeRank,dZoneGiveawaysAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,blockedShotAttemptsFor,hitsFor,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,goalsFor,goalsAgainst,corsiPercentage,xGoalsFor,shotsOnGoalFor,flurryScoreVenueAdjustedxGoalsFor,fenwickPercentage,playContinuedOutsideZoneFor,netGoals
84661828473571,2013,Tallinder-Mcbain,BUF,250.0,5.0,14.0,2.0,18.0,43.0,4.0,34.0,53.0,3.0,5.0,0.35,4.44,47.0,4.06,0.38,31.0,-2.0
84746188476463,2013,Scandella-Brodin,MIN,323.0,8.0,26.0,2.0,52.0,76.0,3.0,53.0,73.0,11.0,11.0,0.49,10.36,131.0,9.85,0.51,70.0,0.0
84717358475171,2013,Yandle-Ekman-Larsson,ARI,359.0,1.0,6.0,0.0,10.0,11.0,0.0,6.0,12.0,0.0,0.0,0.5,1.13,12.0,1.12,0.45,5.0,0.0
84649568474578,2013,Phillips-Karlsson,OTT,393.0,11.0,22.0,2.0,30.0,59.0,1.0,23.0,43.0,9.0,8.0,0.55,5.35,73.0,5.17,0.54,42.0,1.0
84701108471274,2013,Daley-Goligoski,DAL,133.0,66.0,90.0,30.0,170.0,241.0,11.0,185.0,180.0,38.0,31.0,0.5,31.85,370.0,31.13,0.51,205.0,7.0
84694658474520,2013,Hamhuis-Garrison,VAN,337.0,31.0,28.0,4.0,69.0,114.0,4.0,45.0,65.0,8.0,10.0,0.52,9.73,126.0,9.41,0.51,67.0,-2.0
84695988475598,2013,Stanton-Bieksa,VAN,214.0,29.0,31.0,10.0,84.0,174.0,5.0,75.0,76.0,15.0,10.0,0.53,14.57,195.0,13.86,0.55,101.0,5.0
84701878474749,2013,Bartkowski-Boychuk,BOS,199.0,54.0,46.0,12.0,122.0,262.0,9.0,106.0,143.0,33.0,20.0,0.54,24.8,294.0,24.82,0.54,152.0,13.0
84741628474563,2013,Muzzin-Doughty,L.A,157.0,85.0,91.0,20.0,244.0,513.0,13.0,138.0,197.0,31.0,21.0,0.59,34.48,444.0,33.84,0.58,238.0,10.0
84674008475764,2013,Fowler-Beauchemin,ANA,286.0,4.0,7.0,3.0,12.0,14.0,0.0,16.0,17.0,2.0,5.0,0.42,2.02,24.0,2.04,0.43,17.0,-3.0
84659148474056,2013,Bouillon-Subban,MTL,214.0,23.0,32.0,7.0,49.0,105.0,5.0,58.0,49.0,8.0,17.0,0.49,8.05,121.0,8.01,0.48,69.0,-9.0
84746188474716,2013,Scandella-Spurgeon,MIN,199.0,29.0,45.0,10.0,100.0,128.0,5.0,76.0,88.0,17.0,8.0,0.53,14.4,199.0,13.9,0.54,111.0,9.0
84716868471958,2013,Staal-Girardi,NYR,412.0,4.0,11.0,1.0,23.0,52.0,1.0,21.0,34.0,2.0,5.0,0.47,2.8,41.0,2.82,0.48,29.0,-3.0
84683098471269,2013,Streit-Grossmann,PHI,191.0,70.0,75.0,27.0,189.0,372.0,8.0,159.0,177.0,26.0,29.0,0.5,27.82,364.0,27.38,0.5,181.0,-3.0
84734468475197,2013,Johnson-Barrie,COL,406.0,3.0,7.0,2.0,25.0,21.0,2.0,10.0,17.0,2.0,2.0,0.55,2.85,36.0,2.84,0.52,20.0,0.0
84703248476244,2013,Gorges-Diaz,MTL,175.0,37.0,21.0,5.0,60.0,80.0,1.0,53.0,57.0,8.0,6.0,0.46,7.17,106.0,7.02,0.5,55.0,2.0
84696238475199,2013,Gelinas-Zidlicky,N.J,258.0,14.0,36.0,4.0,58.0,110.0,3.0,44.0,55.0,12.0,10.0,0.54,8.54,101.0,8.22,0.52,65.0,2.0
84735078475716,2013,Marincin-Petry,EDM,101.0,46.0,82.0,20.0,129.0,183.0,13.0,112.0,155.0,16.0,21.0,0.48,20.15,238.0,19.14,0.46,123.0,-5.0
84740908474873,2013,Smith-Lashoff,DET,324.0,11.0,21.0,3.0,30.0,79.0,2.0,31.0,38.0,6.0,8.0,0.54,5.75,84.0,5.69,0.55,42.0,-2.0
84739918474590,2013,Alzner-Carlson,WSH,223.0,89.0,115.0,15.0,216.0,359.0,14.0,212.0,249.0,33.0,35.0,0.48,32.64,432.0,31.92,0.48,199.0,-2.0
84742188475625,2013,Irwin-Demers,S.J,295.0,4.0,5.0,0.0,14.0,11.0,1.0,9.0,15.0,2.0,1.0,0.5,1.9,24.0,2.01,0.5,14.0,1.0
84707248471693,2013,Quincey-Kindl,DET,340.0,7.0,15.0,3.0,25.0,35.0,0.0,14.0,25.0,3.0,7.0,0.52,2.99,47.0,3.04,0.49,27.0,-4.0
84685098470318,2013,Kronwall-Ericsson,DET,79.0,63.0,66.0,23.0,117.0,222.0,8.0,118.0,141.0,28.0,30.0,0.52,22.2,313.0,22.07,0.53,163.0,-2.0
84741258474581,2013,Gardiner-Gunnarsson,TOR,435.0,5.0,10.0,3.0,14.0,24.0,0.0,16.0,29.0,3.0,5.0,0.39,3.74,35.0,3.72,0.4,18.0,-2.0
84695558475796,2013,Ehrhoff-Pysyk,BUF,104.0,33.0,58.0,13.0,86.0,189.0,9.0,90.0,130.0,16.0,23.0,0.45,15.09,185.0,14.63,0.45,97.0,-7.0
84735848474066,2013,Macdonald-Hickey,NYI,270.0,18.0,36.0,10.0,57.0,95.0,5.0,55.0,73.0,11.0,7.0,0.39,6.89,91.0,6.82,0.39,55.0,4.0
84740668474612,2013,Hickey-Hamonic,NYI,382.0,9.0,11.0,0.0,31.0,57.0,1.0,23.0,34.0,5.0,2.0,0.59,5.68,75.0,5.55,0.61,43.0,3.0
84712698474568,2013,Grossmann-Schenn,PHI,541.0,6.0,12.0,2.0,6.0,47.0,2.0,25.0,23.0,4.0,3.0,0.32,2.97,24.0,2.96,0.41,18.0,1.0
84701518474031,2013,Bouwmeester-Shattenkirk,STL,322.0,3.0,4.0,0.0,7.0,16.0,0.0,9.0,8.0,1.0,3.0,0.59,1.58,21.0,1.58,0.6,14.0,-2.0
84713038474520,2013,Edler-Garrison,VAN,208.0,36.0,43.0,10.0,103.0,120.0,5.0,67.0,107.0,8.0,15.0,0.51,14.53,168.0,13.81,0.51,106.0,-7.0
84650098476462,2013,Chara-Hamilton,BOS,153.0,45.0,80.0,16.0,157.0,274.0,8.0,112.0,172.0,23.0,16.0,0.56,28.05,342.0,27.78,0.55,186.0,7.0
84661428475462,2013,Brewer-Gudas,T.B,507.0,6.0,14.0,5.0,26.0,64.0,2.0,29.0,32.0,3.0,0.0,0.53,4.66,55.0,4.64,0.51,41.0,3.0
84740318474565,2013,Shattenkirk-Pietrangelo,STL,451.0,3.0,9.0,1.0,17.0,19.0,0.0,9.0,18.0,4.0,5.0,0.59,5.07,49.0,4.88,0.61,32.0,-1.0
84695318475753,2013,Harrison-Faulk,CAR,284.0,7.0,9.0,1.0,20.0,38.0,0.0,18.0,25.0,4.0,3.0,0.51,3.37,38.0,3.21,0.5,21.0,1.0
84650098470187,2013,Chara-Boychuk,BOS,324.0,23.0,33.0,4.0,100.0,160.0,7.0,57.0,68.0,12.0,9.0,0.57,15.0,190.0,14.53,0.59,107.0,3.0
84706018471269,2013,Grossmann-Coburn,PHI,354.0,47.0,33.0,16.0,83.0,177.0,5.0,85.0,108.0,9.0,18.0,0.47,11.11,148.0,10.64,0.46,88.0,-9.0
84719588475186,2013,Moore-Girardi,NYR,331.0,7.0,10.0,4.0,30.0,51.0,3.0,21.0,30.0,3.0,4.0,0.51,3.1,54.0,2.98,0.47,29.0,-1.0
84685098471693,2013,Kronwall-Kindl,DET,422.0,3.0,11.0,3.0,14.0,24.0,1.0,17.0,20.0,1.0,4.0,0.52,3.3,38.0,3.09,0.51,24.0,-3.0
84708348476885,2013,Trouba-Byfuglien,WPG,258.0,0.0,6.0,1.0,2.0,9.0,0.0,7.0,5.0,1.0,6.0,0.3,0.56,7.0,0.54,0.32,6.0,-5.0
84684788475179,2013,Kulikov-Weaver,FLA,148.0,53.0,80.0,18.0,123.0,261.0,13.0,107.0,142.0,23.0,29.0,0.52,25.04,322.0,24.32,0.52,165.0,-6.0
84683098474568,2013,Streit-Schenn,PHI,395.0,15.0,17.0,6.0,50.0,106.0,2.0,27.0,41.0,6.0,9.0,0.51,4.77,69.0,4.78,0.49,35.0,-3.0
84717428476853,2013,Rielly-Franson,TOR,379.0,17.0,33.0,7.0,58.0,136.0,6.0,80.0,59.0,9.0,15.0,0.42,7.49,94.0,7.29,0.4,49.0,-6.0
84596708470601,2013,Coburn-Timonen,PHI,183.0,72.0,80.0,14.0,202.0,309.0,10.0,142.0,198.0,31.0,32.0,0.55,30.77,407.0,29.86,0.54,224.0,-1.0
84703178475197,2013,Guenin-Barrie,COL,169.0,32.0,36.0,14.0,74.0,177.0,6.0,64.0,99.0,8.0,9.0,0.46,12.54,145.0,12.0,0.46,81.0,-1.0
84717298474673,2013,Russell-Brodie,CGY,306.0,43.0,29.0,6.0,69.0,105.0,2.0,65.0,72.0,8.0,10.0,0.45,6.55,124.0,6.44,0.46,77.0,-2.0
84702228471677,2013,Johnson-Wisniewski,CBJ,339.0,2.0,10.0,4.0,23.0,41.0,1.0,17.0,26.0,1.0,1.0,0.54,2.77,44.0,2.8,0.52,26.0,0.0
84673448474563,2013,Regehr-Doughty,L.A,348.0,27.0,34.0,10.0,71.0,177.0,6.0,60.0,80.0,9.0,9.0,0.56,12.33,160.0,11.91,0.55,85.0,0.0
84709668474673,2013,Giordano-Brodie,CGY,160.0,60.0,81.0,29.0,203.0,254.0,9.0,132.0,174.0,37.0,30.0,0.56,30.58,385.0,30.21,0.56,219.0,7.0
84739338475764,2013,Fowler-Lovejoy,ANA,118.0,69.0,101.0,25.0,201.0,424.0,15.0,198.0,243.0,35.0,24.0,0.49,32.26,451.0,31.64,0.5,219.0,11.0
84673328467400,2013,Beauchemin-Allen,ANA,247.0,6.0,19.0,0.0,17.0,35.0,1.0,16.0,25.0,4.0,4.0,0.45,2.89,43.0,2.85,0.45,15.0,0.0
84713928474565,2013,Polak-Pietrangelo,STL,383.0,2.0,4.0,1.0,11.0,27.0,1.0,7.0,12.0,0.0,2.0,0.49,1.04,20.0,1.0,0.48,13.0,-2.0
84695558474574,2013,Ehrhoff-Myers,BUF,311.0,6.0,10.0,2.0,21.0,49.0,3.0,17.0,23.0,4.0,4.0,0.54,3.63,58.0,3.48,0.54,36.0,0.0
84652028475167,2013,Hedman-Salo,T.B,171.0,40.0,68.0,11.0,113.0,195.0,7.0,110.0,146.0,26.0,19.0,0.52,21.01,277.0,20.55,0.53,164.0,7.0
84694658475690,2013,Hamhuis-Tanev,VAN,112.0,71.0,89.0,22.0,172.0,245.0,12.0,157.0,174.0,39.0,23.0,0.51,29.11,397.0,28.16,0.52,189.0,16.0
84716938474090,2013,Smith-Kindl,DET,282.0,7.0,12.0,2.0,26.0,52.0,2.0,21.0,23.0,5.0,4.0,0.54,3.38,55.0,3.37,0.51,27.0,1.0
84674968474056,2013,Markov-Subban,MTL,275.0,64.0,73.0,16.0,175.0,202.0,13.0,111.0,165.0,27.0,22.0,0.52,25.58,319.0,25.15,0.52,159.0,5.0
84740278475625,2013,Irwin-Braun,S.J,237.0,13.0,19.0,3.0,28.0,59.0,1.0,24.0,54.0,2.0,5.0,0.45,4.57,71.0,4.39,0.47,32.0,-3.0
84712428473991,2013,Alzner-Green,WSH,303.0,28.0,30.0,6.0,58.0,117.0,4.0,42.0,69.0,5.0,10.0,0.47,8.9,109.0,8.72,0.47,58.0,-5.0
84706148476885,2013,Stuart-Trouba,WPG,194.0,50.0,60.0,11.0,131.0,271.0,6.0,97.0,137.0,22.0,17.0,0.5,18.8,239.0,18.38,0.51,120.0,5.0
84694658469598,2013,Hamhuis-Bieksa,VAN,393.0,18.0,25.0,5.0,55.0,83.0,4.0,46.0,48.0,9.0,9.0,0.52,7.38,102.0,7.29,0.52,67.0,0.0
84695988474520,2013,Garrison-Bieksa,VAN,249.0,19.0,25.0,6.0,47.0,75.0,5.0,57.0,56.0,12.0,8.0,0.47,8.1,110.0,8.03,0.48,44.0,4.0
84589518475455,2013,Dillon-Gonchar,DAL,323.0,1.0,10.0,5.0,13.0,25.0,1.0,18.0,14.0,1.0,2.0,0.44,2.14,30.0,2.03,0.43,15.0,-1.0
84702818471769,2013,Keith-Hjalmarsson,CHI,402.0,14.0,11.0,0.0,34.0,19.0,3.0,15.0,31.0,4.0,6.0,0.52,3.11,45.0,3.08,0.49,33.0,-2.0
84674008476854,2013,Beauchemin-Lindholm,ANA,139.0,72.0,91.0,20.0,180.0,296.0,7.0,191.0,199.0,53.0,30.0,0.51,33.03,415.0,32.08,0.51,183.0,23.0
